key,title,authors,venue,url,category,solves_phasing,transfer
LaFarge2020,Guidance for Closed-Loop Transfers using Reinforcement Learning with Application to Libration Point Orbits,"LaFarge, Miller, Howell, Linares",AIAA SciTech 2020,https://engineering.purdue.edu/people/kathleen.howell.1/Publications/Conferences/2020_AIAA_LafMilHowLin.pdf,RL transfer / reference-tracking shaping,no (tracks a precomputed reference),"Reward = eta*exp(-lambda*k) on distance k to NEAREST STATE of a precomputed reference trajectory (KD-tree lookup), + arrival bonus b=25, divergence penalty -4, impact -10, episode terminated on divergence. eta=i/(n*xi)+1 ramps reward along the reference to kill the stationkeeping local optimum. gamma=0.9, ~150 steps/episode, 100k episodes, 60 identical agents trained and best selected."
Holt2024,Reinforced Lyapunov controllers for low-thrust lunar transfers,"Holt, Baresi, Armellin","Astrodynamics 8(4):633-656, 2024",https://doi.org/10.1007/s42064-024-0212-x,RL-modulated classical law + explicit phasing,"yes, but classically (a-augmentation), not by RL",RL learns state-dependent WEIGHTS of a Lyapunov/Q-law rather than the control itself -> 100% MC convergence and 9-12% cost improvement over the hand-tuned law. Section 6 handles phase by AUGMENTING THE TARGET SEMI-MAJOR AXIS: a*_T = [(1/a_T)^{3/2} + W_L*sgn(dL)*arccos(cos dL)/exp(N_tt)]^{-2/3} with N_tt = revs-to-go from the Q-law time-to-go. This is the single most transferable equation in the survey.
Naasz2002,Classical Element Feedback Control for Spacecraft Orbital Maneuvers (mean-motion control / target-a augmentation),Naasz,"MS thesis, Virginia Tech, 2002",https://vtechworks.lib.vt.edu/items/6a04a7a1-9bd2-4b53-8b0f-2b3aa1e01e5b,classical GNC,yes,"Origin of the 'use a as a proxy for period, bias the target a by the phase error' trick that later Q-law/RLC work builds on. Establishes asymptotic convergence of orbital-element feedback augmented by mean-motion control."
ConstrainedLyapunov2026,Constrained Lyapunov Stabilization based on Gauss Variational Equations: From Spacecraft Orbital Transfers to Rendezvous,(arXiv 2606.12108),arXiv 2026,https://arxiv.org/abs/2606.12108,"classical GNC, modern statement",yes,"Explicit outer-loop: n_mod = sat(n_des - lambda*z^T S^T Pbar (z - z_des)) on the mean-anomaly phase state z on the unit circle, then a_des_mod = clip((mu/n_mod^2)^(1/3), 0.8 a_des, 1.2 a_des). +-20% saturation on the commanded a is the drift-orbit sizing limit. Handles +3 / -2 revolution phase gaps. Directly usable as our expert controller and as the shaping target."
Vallado/Curtis-phasing,Phasing maneuvers (co-orbital two-impulse phasing),Vallado 'Fundamentals of Astrodynamics and Applications' ch.6; Curtis ch.6,textbook,https://orbital-mechanics.space/orbital-maneuvers/phasing-maneuvers.html,classical,yes (canonical),T_ph = T*(1 - dtheta/(2 pi N)); a_ph = (mu (T_ph/2pi)^2)^{1/3}; dv_total = 2|sqrt(mu(2/a-1/a_ph)) - sqrt(mu/a)|. Worked GEO example shows dv falls ~7x from N=0 to N=1 rev. Same monotone structure holds in our LEO band (see t3_phasing_design_table.csv).
Shirobokov2021,Propulsionless planar phasing of multiple satellites using deep reinforcement learning,Sumanth Kumar / Shirobokov et al.,"Advances in Space Research 67(11):3667, 2021",https://doi.org/10.1016/j.asr.2020.09.025,deep RL that actually targets PHASING,"yes (differential drag, propellantless)","Closest published analogue to our hard leg: A2C and PPO agents rephase relative argument of latitude of 3 coplanar LEO satellites by commanding cross-sectional area (differential drag). Uses a surrogate propagator to make multi-week horizons trainable. Confirms (a) phasing IS learnable by PPO when the horizon is compressed by a surrogate/abstraction, (b) the action is a slow drift-rate knob, not an impulse."
Zhao2023-multi-impulse,Optimal Multi-impulse Linear Rendezvous via Reinforcement Learning,(Space: Science & Technology),"Space Sci. Technol. 2023, art. 0047",https://spj.science.org/doi/10.34133/space.0047,RL with coast-duration in the action,"partially (linear/CW, multi-impulse)","Action = (impulse dv, coasting period dt) jointly. Explicit precedent for our time-warp actions being part of the action vector rather than a fixed frame-skip. Reward reflects fuel, transfer time, relative state."
Federici2021,Reinforcement Learning for Robust Trajectory Design of Interplanetary Missions,"Zavoli, Federici","JGCD 44(8), 2021 / arXiv:2008.08501",https://arxiv.org/abs/2008.08501,RL long-horizon low-thrust,"no (fixed-time, MEE state)","PPO on a time-discrete MDP with equinoctial state; the value of a stochastic-disturbance training distribution as robustness. Their later 'Densely rewarded RL' (ASR 72(4), 2023) is the explicit statement that sparse terminal rewards generalize better but cost far more training, dense rewards train fast but bias the optimum."
Federici2023-dense,Densely rewarded reinforcement learning for robust low-thrust trajectory optimization,"Federici, Zavoli","Advances in Space Research 72(4), 2023",https://doi.org/10.1016/j.asr.2023.04.007,reward design,no,"The sparse-vs-dense tradeoff stated cleanly for astrodynamics: dense shaping buys sample efficiency at the price of biasing toward the shaping designer's assumed solution. This is exactly what happened to us: the shaping encoded 'stay on the target orbit', which was only optimal because the bug let phase be teleported."
Gaudet2020,Six Degree-of-Freedom Hovering / Terminal adaptive guidance via reinforcement meta-learning,"Gaudet, Linares, Furfaro",AIAA SciTech 2020; Acta Astronautica,https://arxiv.org/abs/1911.08553,RL prox-ops (terminal only),no,"The canonical RL-for-spacecraft line, but every task is TERMINAL: seconds-to-minutes, last few km, sensor-to-thrust. Recurrent policy (meta-RL) adapts to unknown dynamics. Their shaping is a velocity-field / glideslope tracking term, i.e. also 'shape toward a guidance law', which is the reusable idea."
Hovell2021,Deep Reinforcement Learning for Spacecraft Proximity Operations Guidance,"Hovell, Ulrich","J. Spacecraft & Rockets 58(2), 2021",https://carleton.ca/spacecraft/wp-content/uploads/sites/229/JSR-2021.pdf,RL prox-ops (terminal only),no,"Deep GUIDANCE, not deep control: the policy outputs velocity commands that a conventional controller tracks. Lowers the learning burden and gives sim-to-real transfer (granite-table hardware). Analogue for us: let the policy output a commanded delta-a / drift rate and let a classical law realize it."
FarRange2025,Robust trajectory design and guidance for far-range rendezvous using reinforcement learning with safety and observability considerations,(Aerospace Science & Technology),Aerosp. Sci. Technol. 2025,https://doi.org/10.1016/j.ast.2025.109930,far-range RPO,no - phasing done by a separate nonlinear optimizer/PSO,"Architecture split worth copying: a global optimizer (PSO / NLP) designs the nominal far-range trajectory, PPO only provides the closed-loop correction around it. Reports 22.3% dv reduction vs best benchmark. Companion arXiv:2411.01021 is the ADR version."
Guffanti2023-ART,Transformers for Trajectory Optimization with Application to Spacecraft Rendezvous (ART),"Guffanti, Gammelli, D'Amico, Pavone",IEEE Aerospace 2024 / arXiv:2310.13831,https://arxiv.org/abs/2310.13831,sequence model warm-start,"no (OCP horizon 1-3 orbits, 416 km)","Uses ROE state; transformer trained on 400k optimal trajectories to WARM-START a sequential convex optimizer, keeping hard-constraint guarantees. Alternative to RL if we ever need the last mile. Confirms the field's horizon norm is 1-3 orbits."
RL-ROE-SK2025,Reinforcement learning-based station keeping using relative orbital elements,(Advances in Space Research 2025),Adv. Space Res. 2025,https://doi.org/10.1016/j.asr.2025.05.031,state representation,partially (relative mean longitude control),"ROE observation: d_a drives secular drift of relative mean longitude d_lambda; the pair (d_a, d_lambda) is the natural 2-D phase-plane for our problem. Strong argument to feed the policy (d_a, d_lambda, d_e_vector) rather than raw a/e/theta."
MultiDebris2024,Revisiting Space Mission Planning: A RL-Guided Approach for Multi-Debris Rendezvous,(arXiv 2409.16882) and follow-ons,arXiv 2024/2026,https://arxiv.org/abs/2409.16882,RL for the discrete layer only,no - Lambert solver does each leg,"Masked PPO picks the debris VISIT SEQUENCE; a Lambert solver executes each transfer. ~11-14% mission-time improvement. The division of labour (RL = discrete/combinatorial, classical = continuous leg) is a legitimate fallback framing for our project."
OrbitZoo2025,OrbitZoo: Real Orbital Systems Challenges for Reinforcement Learning,(arXiv 2504.04160),arXiv 2025,https://arxiv.org/abs/2504.04160,benchmark,"no (Hohmann ~30 km, GEO constellation spacing, chase-target)","Benchmark tasks are deliberately small (30 km altitude change). Explicitly names sparse/delayed feedback, credit assignment, reward misspecification and curriculum as the OPEN problems in orbital RL. Recommends equinoctial elements to avoid circular/equatorial singularities."
Biedenkapp2021,TempoRL: Learning When to Act,"Biedenkapp, Rajan, Hutter, Lindauer",ICML 2021,https://arxiv.org/abs/2106.05262,semi-MDP / temporal abstraction,n/a,"Factor the policy into (what action, how long to hold it) with the skip-length head CONDITIONED ON THE CHOSEN ACTION. Reported far more stable than FiGAR/DAR as max skip length grows. Our 3 warp actions are a hand-coded, action-independent version of this; a (burn, hold-duration) factorization is the principled upgrade."
Sharma2017-FiGAR,Learning to Repeat: Fine Grained Action Repetition for Deep Reinforcement Learning (FiGAR),"Sharma, Lakshminarayanan, Ravindran",ICLR 2017,https://arxiv.org/abs/1702.06054,semi-MDP / temporal abstraction,n/a,"Second policy head emits a repetition count from a discrete set; shows large gains on long-horizon tasks. Cheapest possible upgrade to our action space: keep 16 actions, add a 4-way duration head."
Sutton1999-options,Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning,"Sutton, Precup, Singh","Artificial Intelligence 112, 1999",https://doi.org/10.1016/S0004-3702(99)00052-1,theory,n/a,The SMDP Bellman equation with gamma^tau discounting over option duration tau. Our shaping term beta*(gamma^tau*Phi(s') - Phi(s)) is the correct SMDP-consistent form; confirms that part of the env is right.
Ng1999,Policy invariance under reward transformations: theory and application to reward shaping,"Ng, Harada, Russell",ICML 1999,https://people.eecs.berkeley.edu/~russell/papers/ml99-shaping.pdf,theory,n/a,"Potential-based shaping preserves the optimal policy ONLY in the limit; with finite training it changes which optimum is found first. Our Phi is potential-based and therefore does not change the true optimum - it changes what the agent can find, which is exactly the failure we observe."
Florensa2017,Reverse Curriculum Generation for Reinforcement Learning,"Florensa, Held, Wulfmeier, Zhang, Abbeel",CoRL 2017,https://arxiv.org/abs/1707.05300,curriculum,n/a,"Automatically expand the START-STATE distribution outward from the goal, gated on measured success rate (keep starts with success in [0.1,0.9]). Our fixed 30->90->180 deg schedule is a coarse hand-made version; the adaptive version is strictly better and cheap to implement (sample init_phase_gap from a moving frontier)."
Andrychowicz2017-HER,Hindsight Experience Replay,Andrychowicz et al.,NeurIPS 2017,https://arxiv.org/abs/1707.01495,sparse-reward,n/a,"Relabel failed episodes with the achieved goal. Applicable here because our goal (target orbit + phase) is an explicit part of the observation: an episode that ends 40 deg short is a perfect demonstration for a 40-deg-smaller phase gap. Requires an off-policy learner (SAC/TD3/DDPG), which PufferLib PPO is not - this is the main cost."
PursuitEvasion2024-HER,Impulsive maneuver strategy for multi-agent orbital pursuit-evasion game under sparse rewards,(Aerospace Science & Technology 2024),Aerosp. Sci. Technol. 2024,https://doi.org/10.1016/j.ast.2024.109722,sparse-reward orbital RL,no,"DDPG+HER with a hierarchical network for impulsive orbital maneuvers under sparse reward - existence proof that HER works on impulsive orbital problems, not just robot arms."
Abbas2023-plasticity,Loss of Plasticity in Continual Deep Reinforcement Learning,"Abbas, Zhao, Modayil, White, Machado",CoLLAs 2023 / arXiv:2303.07507,https://arxiv.org/abs/2303.07507,warm-start / continual RL,n/a,"Directly explains our R3/R5 result that warm-started continuation collapses: the network loses the ability to learn after committing to one task. Mitigations that are cheap for us: shrink-and-perturb on the trunk, ReDo-style dormant-unit resets, or full re-init of the head."
Dohare2024,Loss of plasticity in deep continual learning,"Dohare, Hernandez-Garcia, Lan, Rahman, Mahmood, Sutton","Nature 632, 2024",https://www.nature.com/articles/s41586-024-07711-7,warm-start / continual RL,n/a,Continual backpropagation (reinitialize a small fraction of least-used units each step) is the only intervention that maintained plasticity indefinitely. ~20 lines in a PufferLib training loop; the highest-value cheap experiment if we keep any warm-start in the curriculum.
Tipaldi2022,"Reinforcement learning in spacecraft control applications: Advances, prospects, and challenges","Tipaldi, Iervolino, Massenio","Annual Reviews in Control 54, 2022",https://doi.org/10.1016/j.arcontrol.2022.07.004,survey,no,Use as the citation for 'the field is terminal-phase dominated'. Good source for framing our contribution as filling the far-range/phasing gap.
Hovell2022-HRL-cubesat,Hierarchical Deep Reinforcement Learning for cubesat guidance and control,(Control Engineering Practice 2024),Control Eng. Practice 2024,https://doi.org/10.1016/j.conengprac.2024.106133,HRL,no (short-range rendezvous),"Hierarchical actor-critic (HAC) + DDPG with policies at DIFFERENT TIME RESOLUTIONS for simultaneous guidance and attitude control, validated hardware-in-the-loop. Closest published HRL-for-rendezvous precedent; note it is still short-range."
